Subfamily:,Tribe:,Genus:,Subgenus:,Species:,Name:
Caluromyinae,,Caluromys,Caluromys,philander,Bare-tailed Woolly Opossum
Caluromyinae,,Caluromys,Mallodelphys,derbianus,Derby's Woolly Opossum
Caluromyinae,,Caluromys,Mallodelphys,lanatus,Brown-eared Woolly Opossum
Caluromyinae,,Caluromysiops,,irrupta,Black-shouldered Opossum
Glironiiae,,Glirona,,venusta,Bushy-tailed Opossum
Hyladelphinae,,Hyladelphys,,kalinowskii,Kalinowski's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Eomarmosa,rubra,Red Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,isthmica,Isthmian Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,mexicana,Mexican Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,robinsoni,Robinson's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,simonsi,Simons's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,xerophila,Guajira Mouse Opossum
Didelphinae,Marmosini,Marmosa,Exulomarmosa,zeledoni,Zeledon's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Marmosa,macrotarsus,Western Amazonian Mouse Opossum
Didelphinae,Marmosini,Marmosa,Marmosa,murina,Linnaeus's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Marmosa,tyleriana,Tyleria Mouse Opossum
Didelphinae,Marmosini,Marmosa,Marmosa,waterhousei,Waterhouse's Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,adleri,Adler's Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,alstoni,Alston's Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,constantiae,White-bellied Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,demerarae,Northeastern Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,germana,Northwestern Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,jansae,Jansa's Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,nicaraguae,Nicaraguan Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,paraguayana,Tate's Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,parda,Peruvian Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,perplexa,Anthony's Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,phaea,Little Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,rapposa,Bolivian Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Micoureus,rutteri,Bare-tailed Woolly Mouse Opossum
Didelphinae,Marmosini,Marmosa,Stegomarmosa,andersoni,Heavy-browed Mouse Opossum
Didelphinae,Marmosini,Marmosa,Stegomarmosa,lepida,Rufous Mouse Opossum
Didelphinae,Marmosini,Monodelphis,Microdelphys,americana,Northern Three-striped Opossum
Didelphinae,Marmosini,Monodelphis,Microdelphys,gardneri,Gardner's Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Microdelphys,iheringi,Ihering's Three-striped Opossum
Didelphinae,Marmosini,Monodelphis,Microdelphys,scalops,Tawny-headed Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphiops,dimidiata,Orange-sided Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphiops,unistriata,Single-striped Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,arlindoi,Arlindo's Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,brevicaudata,Northern Red-sided Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,domestica,Gray Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,glirina,Amazonian Red-sided Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,palliolata,Hooded Red-sided Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,sanctaerosae,Santa Rosa Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,touan,Touan Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Monodelphis,vossi,Single-striped Opossum
Didelphinae,Marmosini,Monodelphis,Mygalodelphys,adusta,Sepia Short-tailed Opossum
Didelphinae,Marmosini,Monodelphis,Mygalodelphys,handleyi,Handley's Short-tailed Opossum
